gene_symbol,logFC,adj_pvalue
SFXN1,-0.927075760586872,3.260922801265632e-07
TMEM97,-1.0298863883651137,3.2799464115774037e-07
MLKL,-1.0889495941607095,3.2819651323567023e-07
TM4SF19,-1.2145793398137208,3.3224360594423974e-07
PUM2,-0.8424477959855654,3.325556184641348e-07
IFRD1,0.844623453017121,3.3268365046325025e-07
C17orf89,0.9214495821302311,3.348900232201004e-07
TMEM63B,0.9266211432823326,3.4235605247300615e-07
FAM69B,0.8500521752757688,3.438536359560912e-07
PXDN,-1.3229970482205626,3.4877322590220334e-07
NHP2L1,-1.0234576472034878,3.494392408357788e-07
KIAA1598,-0.9775007160013818,3.5061766691297616e-07
EEF1A1,-0.8505490757625322,3.6188503325732363e-07
OCIAD2,-0.9410832786366203,3.6724179242384463e-07
DHX40,0.8223207176345433,3.7309370281626405e-07
CASK,0.8610294161943894,3.7569980731412905e-07
TAF9L,-0.8528008983826565,3.7717965267198173e-07
EIF2S2,-0.8642171549917066,3.7816605656289997e-07
KPNA3,-0.8438943360886837,3.872919153284326e-07
MGLL,-0.9532493642151874,3.9440547750118325e-07
ZFAND6,-1.0393379889960688,3.9820613664028865e-07
LOC100130633,-0.8724954600326429,4.013629693175995e-07
RFNG,0.8463842542589379,4.0166659131955244e-07
MRPL52,-0.8587326643012183,4.0201973257325213e-07
RALGDS,1.1236663850603819,4.020756633464641e-07
BOLA2,0.9032192558219361,4.0576192752041324e-07
DDEF2,-0.8045835484638921,4.0736879195592854e-07
PHLDA3,1.0633202406725086,4.095027161359767e-07
RPL28,-0.9020644426689266,4.128101140357991e-07
MOXD1,-0.986097769587432,4.233613975469056e-07
TMSB15A,-0.9516081151600133,4.2560963048543664e-07
EIF4A1,-0.9556512366487482,4.285840354256967e-07
CDC25B,-0.8002315256745192,4.2935652616279785e-07
LOC647000,-1.0668700373927962,4.3248748525603467e-07
RAB11FIP2,0.8306312247621541,4.361162978897332e-07
ANKRA2,1.0028359381463101,4.3619191597261935e-07
CADM1,0.9362040354874104,4.3672056837791207e-07
FST,0.8925190451530431,4.394344745309797e-07
CGN,-0.9271914296043224,4.400548089601876e-07
LOC728188,-1.044535883191795,4.4201093408444434e-07
TOMM20,-0.9373694914076687,4.43253292223301e-07
SH2D5,-0.8881405585517772,4.4842796307607226e-07
C6orf106,-0.9654021372223811,4.553008325470915e-07
HAS2,1.0079563276240489,4.554853471364242e-07
FBXO22,0.8069360234062088,4.621563827342417e-07
PHLPP2,-0.8947042825750398,4.689261846712805e-07
PLDN,-0.8061963867445066,4.6913431452215955e-07
LRRC8A,-0.9807549197803542,4.746245960946217e-07
MBOAT7,-0.9276192158609824,4.760631033549714e-07
KIAA1522,-0.9238950016478391,4.7656448958677594e-07
ZFYVE26,-1.0978943592625736,4.777798853495028e-07
PHF17,-0.8685742427818468,4.783092694706809e-07
LOC151162,-0.8874033178875429,4.801194211903425e-07
TK1,-0.8172651262554993,4.93076812683735e-07
KIF3C,-0.9011560510370034,4.977649808078504e-07
PGAM4,-0.867156008670495,4.985282253240832e-07
C6orf106,-0.9032079626614973,5.055126629728594e-07
SCRIB,0.8596586483193249,5.075243471179808e-07
H2AFY2,-0.8572397466617705,5.09248158691999e-07
PHF11,-0.9316984136617643,5.117994955054944e-07
GRIN2C,1.1025492298532855,5.248991925347466e-07
ASXL1,-0.862349623331033,5.283349970893284e-07
HMGA2,0.8478454707689007,5.348947764881076e-07
EMG1,-0.7993768123003733,5.380057212230761e-07
FDFT1,-0.9996190185166327,5.528496413980376e-07
C8orf55,-0.9709986886699156,5.556492250475288e-07
PYCR2,-0.7993458267499989,5.572250187691188e-07
RGL1,1.147283312243209,5.61590721883447e-07
